69 1176
10 34 26
10 38 64
10 40 66
10 45 153
10 48 85
10 51 60
10 53 34
10 55 38
10 66 93
10 68 95
11 1 70
11 9 41
11 14 103
11 15 46
11 16 19
11 17 151
11 18 65
11 19 12
11 29 60
11 42 24
11 55 50
11 59 130
11 60 17
11 66 88
11 68 8
12 5 77
12 6 92
12 7 103
12 14 76
12 15 95
12 21 4
12 22 27
12 25 58
12 27 62
12 29 68
12 32 163
12 39 4
12 43 50
12 44 96
12 47 26
12 57 15
12 58 10
12 65 131
12 67 17
13 6 1
13 8 96
13 20 2
13 31 120
13 33 61
13 35 79
13 36 8
13 44 62
13 46 77
13 51 97
13 54 27
13 63 5
14 0 72
14 7 31
14 9 61
14 18 78
14 21 34
14 24 92
14 25 42
14 30 51
14 33 41
14 36 10
14 37 72
14 41 34
14 43 10
14 47 13
14 49 54
14 58 44
15 1 78
15 3 67
15 4 41
15 6 24
15 13 81
15 17 8
15 27 55
15 34 62
15 38 66
15 39 22
15 40 19
15 41 68
15 43 56
15 45 137
15 48 48
15 53 70
15 57 28
15 58 28
15 62 61
15 66 76
16 5 45
16 10 10
16 22 94
16 25 99
16 34 38
16 38 46
16 40 81
16 44 192
16 50 90
16 51 116
16 52 57
16 56 28
16 57 67
16 60 28
16 66 85
16 67 129
17 0 19
17 2 46
17 4 69
17 9 18
17 10 40
17 12 67
17 14 10
17 20 62
17 21 44
17 25 6
17 27 66
17 29 92
17 36 180
17 37 78
17 38 95
17 39 55
17 47 92
17 55 37
17 61 71
17 63 81
18 0 32
18 2 80
18 3 92
18 8 36
18 13 60
18 15 88
18 17 3
18 19 85
18 22 91
18 23 13
18 28 117
18 29 47
18 30 13
18 31 70
18 33 94
18 35 49
18 49 34
18 56 40
18 57 114
18 60 50
19 3 64
19 7 98
19 8 76
19 12 64
19 14 47
19 23 67
19 27 61
19 36 8
19 37 77
19 38 6
19 39 91
19 42 21
19 49 88
19 51 68
19 52 52
19 60 36
20 0 31
20 1 37
20 5 77
20 9 73
20 12 80
20 14 50
20 15 6
20 23 42
20 37 134
20 38 46
20 51 30
20 52 7
20 59 64
20 60 66
20 63 80
20 65 108
21 0 86
21 4 42
21 8 85
21 11 4
21 15 83
21 16 17
21 22 67
21 23 10
21 28 48
21 29 40
21 30 87
21 33 82
21 34 32
21 41 87
21 42 90
21 43 17
21 46 79
21 47 13
21 48 11
21 56 73
21 57 59
21 61 13
21 63 6
22 0 43
22 7 97
22 8 4
22 15 26
22 19 47
22 27 94
22 32 17
22 37 8
22 43 85
22 44 70
22 51 14
22 54 26
22 55 53
22 57 10
22 59 82
22 61 1
22 67 72
23 5 85
23 6 98
23 22 14
23 34 123
23 35 39
23 39 20
23 42 30
23 47 35
23 49 41
23 52 84
23 61 8
23 67 129
24 0 11
24 4 77
24 7 54
24 9 33
24 15 19
24 21 18
24 23 26
24 26 79
24 31 180
24 35 42
24 38 112
24 49 74
24 58 61
24 66 95
25 2 85
25 3 72
25 5 12
25 8 56
25 15 37
25 19 36
25 20 21
25 22 60
25 27 56
25 31 43
25 32 39
25 52 77
25 55 87
25 59 96
25 68 175
26 2 59
26 3 71
26 4 22
26 10 102
26 11 1
26 12 60
26 18 22
26 21 3
26 23 18
26 27 23
26 28 70
26 29 89
26 33 72
26 35 47
26 47 163
26 51 55
26 54 34
26 57 17
26 62 30
26 68 85
27 0 19
27 13 12
27 24 42
27 30 95
27 33 57
27 37 27
27 38 17
27 39 78
27 41 59
27 42 41
27 44 45
27 45 45
27 54 22
27 58 45
27 64 10
27 68 114
28 9 63
28 10 82
28 15 45
28 16 56
28 23 78
28 31 50
28 33 73
28 37 84
28 38 55
28 41 85
28 45 27
28 51 86
28 52 5
28 59 33
29 0 5
29 6 62
29 10 40
29 14 44
29 15 26
29 20 52
29 23 18
29 27 67
29 32 56
29 34 85
29 39 92
29 40 71
29 48 77
29 56 9
29 60 1
29 61 6
29 68 193
30 0 28
30 1 35
30 6 32
30 10 4
30 12 35
30 15 12
30 17 156
30 26 23
30 28 130
30 29 92
30 34 6
30 36 43
30 38 70
30 39 12
30 43 54
30 50 27
30 55 4
30 57 65
30 62 56
30 63 108
31 0 73
31 1 18
31 2 41
31 6 19
31 12 4
31 14 10
31 17 50
31 21 40
31 26 102
31 30 94
31 37 61
31 39 97
31 54 8
31 56 23
31 61 40
32 1 94
32 5 101
32 8 92
32 10 84
32 11 92
32 23 61
32 28 1
32 30 29
32 36 50
32 41 75
32 53 59
32 62 106
32 65 64
33 10 139
33 12 10
33 17 121
33 22 47
33 25 55
33 31 29
33 35 88
33 38 53
33 39 27
33 40 81
33 45 17
33 49 44
33 56 68
33 58 4
33 62 91
33 67 100
33 68 20
34 0 61
34 1 140
34 2 81
34 9 1
34 12 12
34 13 55
34 14 95
34 18 24
34 26 83
34 33 64
34 36 64
34 41 35
34 57 27
34 67 42
35 4 55
35 9 98
35 10 51
35 11 74
35 14 62
35 17 31
35 20 32
35 21 64
35 27 72
35 29 49
35 32 56
35 36 81
35 51 16
35 59 33
35 67 35
35 68 3
36 0 53
36 8 17
36 10 24
36 11 74
36 15 113
36 16 50
36 23 82
36 24 132
36 25 74
36 27 86
36 40 34
36 41 11
36 44 39
36 47 55
36 48 49
36 49 104
36 50 140
36 51 78
36 55 63
36 56 73
36 57 92
36 59 8
36 65 32
36 66 100
36 67 60
37 2 85
37 3 11
37 4 17
37 5 23
37 12 93
37 13 67
37 15 57
37 23 33
37 30 59
37 34 4
37 36 71
37 38 88
37 39 20
37 50 92
37 51 89
37 56 23
37 62 1
37 63 45
38 3 1
38 4 45
38 5 77
38 7 34
38 8 10
38 12 1
38 26 28
38 31 3
38 49 95
38 50 7
38 53 136
38 57 9
38 58 86
38 62 73
38 63 30
38 66 90
38 68 20
39 8 89
39 9 90
39 10 42
39 11 11
39 13 76
39 14 40
39 16 131
39 32 95
39 35 71
39 38 42
39 43 30
39 52 19
39 55 19
40 2 72
40 5 74
40 13 59
40 14 82
40 21 41
40 24 26
40 25 66
40 27 14
40 30 72
40 35 10
40 37 62
40 39 167
40 43 97
40 44 34
40 58 37
41 1 67
41 5 58
41 9 17
41 12 93
41 13 49
41 17 48
41 18 14
41 19 64
41 23 114
41 25 2
41 29 67
41 33 3
41 42 88
41 54 59
41 57 87
41 58 16
41 64 51
42 2 70
42 4 30
42 6 74
42 7 9
42 9 98
42 12 43
42 13 54
42 17 50
42 18 71
42 24 62
42 25 23
42 26 72
42 29 69
42 51 28
42 55 22
42 56 66
42 60 135
42 62 89
42 67 32
43 10 95
43 11 21
43 16 9
43 17 189
43 18 31
43 19 74
43 20 8
43 24 67
43 25 28
43 28 19
43 33 56
43 47 4
43 49 26
43 54 71
43 59 25
43 60 52
43 67 19
43 68 71
44 0 48
44 2 3
44 4 68
44 6 79
44 7 41
44 18 16
44 21 18
44 23 36
44 26 76
44 29 11
44 35 87
44 42 34
44 45 58
44 46 21
44 48 100
44 53 47
44 57 12
44 58 75
44 59 59
44 61 126
44 66 78
45 7 77
45 11 42
45 16 36
45 17 45
45 31 33
45 32 37
45 34 89
45 39 66
45 59 8
45 60 20
46 1 72
46 4 39
46 5 71
46 7 10
46 10 139
46 18 75
46 19 73
46 22 85
46 23 70
46 24 42
46 27 50
46 30 38
46 31 11
46 33 7
46 35 74
46 41 100
46 48 62
46 49 75
46 50 78
46 59 16
46 61 23
46 63 51
46 68 43
47 2 77
47 5 14
47 6 57
47 9 76
47 11 69
47 25 43
47 27 50
47 33 76
47 35 12
47 40 49
47 42 23
47 45 188
47 57 111
47 60 10
48 4 65
48 5 50
48 8 90
48 16 116
48 19 2
48 20 26
48 25 33
48 30 64
48 33 26
48 47 66
48 50 94
48 53 46
48 56 6
48 57 25
48 59 125
48 60 2
48 64 63
48 67 17
49 2 61
49 3 19
49 5 33
49 10 57
49 16 79
49 17 4
49 27 16
49 28 42
49 31 12
49 39 162
49 48 8
49 50 79
49 53 57
49 56 91
49 57 38
49 63 66
49 64 76
49 66 107
49 68 98
50 2 68
50 5 84
50 7 63
50 9 13
50 13 6
50 14 74
50 21 28
50 24 34
50 28 22
50 45 80
50 52 46
50 58 2
50 59 29
50 61 74
51 5 72
51 11 26
51 23 18
51 24 56
51 29 25
51 30 78
51 31 93
51 32 29
51 33 35
51 40 53
51 44 41
51 46 28
51 62 106
51 66 78
51 68 14
52 0 45
52 2 39
52 11 76
52 14 73
52 17 167
52 21 91
52 24 143
52 34 12
52 36 3
52 42 47
52 43 119
52 45 46
52 49 75
52 51 60
52 54 6
52 57 27
52 59 89
52 64 59
53 8 28
53 13 158
53 22 34
53 26 30
53 28 20
53 30 53
53 31 153
53 41 59
53 42 84
53 46 6
53 47 76
53 57 154
53 61 7
53 62 40
54 4 65
54 8 52
54 9 79
54 11 16
54 14 158
54 18 62
54 19 5
54 23 45
54 24 34
54 30 94
54 32 67
54 36 113
54 38 41
54 40 53
54 42 26
54 48 66
54 55 91
54 63 37
54 67 30
55 1 21
55 2 58
55 3 85
55 4 63
55 5 49
55 6 20
55 8 41
55 18 64
55 19 26
55 21 25
55 27 32
55 31 52
55 33 94
55 46 8
55 47 65
55 48 70
55 53 89
55 59 49
55 60 76
55 66 10
56 3 66
56 9 70
56 11 9
56 14 97
56 19 6
56 22 79
56 32 58
56 35 77
56 38 80
56 40 11
56 41 78
56 46 20
56 51 86
56 54 34
56 55 27
56 59 64
56 60 19
56 67 63
56 68 26
57 4 31
57 5 83
57 6 1
57 19 111
57 20 45
57 23 9
57 25 15
57 28 71
57 37 20
57 42 73
57 43 77
57 50 18
57 56 27
57 58 60
57 60 29
57 63 70
57 64 51
57 65 41
58 4 34
58 5 16
58 7 25
58 20 90
58 26 85
58 29 79
58 30 146
58 31 35
58 36 73
58 39 131
58 42 10
58 48 106
58 49 53
58 51 54
58 54 77
58 56 20
58 59 45
58 63 41
59 5 14
59 7 41
59 8 18
59 10 77
59 12 6
59 13 81
59 19 3
59 21 84
59 29 90
59 31 88
59 51 40
59 53 82
59 54 3
59 57 44
59 60 31
59 62 40
59 64 53
60 0 57
60 2 68
60 3 50
60 9 56
60 13 18
60 15 177
60 21 192
60 22 57
60 23 56
60 27 68
60 28 71
60 30 28
60 31 15
60 36 36
60 50 2
60 51 29
60 53 60
60 54 20
60 62 40
61 6 98
61 8 2
61 11 147
61 12 29
61 13 4
61 20 80
61 24 80
61 25 29
61 26 63
61 32 81
61 33 7
61 35 9
61 36 94
61 37 71
61 41 162
61 43 14
61 56 46
61 57 17
61 59 38
61 60 83
62 0 13
62 4 152
62 12 113
62 20 81
62 23 95
62 29 40
62 36 58
62 43 50
62 46 29
62 47 35
62 50 62
62 52 44
62 55 38
62 58 159
62 61 96
62 68 125
63 10 58
63 15 32
63 18 95
63 27 55
63 28 26
63 31 32
63 33 84
63 47 9
63 56 82
63 62 68
64 4 91
64 12 157
64 17 94
64 22 13
64 28 42
64 32 2
64 34 77
64 37 27
64 40 63
64 44 32
64 55 41
64 56 65
64 60 15
64 62 54
64 63 14
64 68 119
65 8 89
65 16 45
65 21 96
65 23 94
65 24 68
65 25 5
65 29 112
65 31 58
65 34 37
65 35 7
65 38 293
65 40 47
65 44 41
65 46 1
65 47 40
65 50 18
65 58 50
65 60 85
65 63 92
66 4 100
66 5 29
66 12 48
66 14 10
66 17 152
66 18 46
66 19 62
66 21 70
66 23 91
66 31 4
66 43 74
66 46 69
66 47 26
66 50 23
66 52 35
66 53 55
66 59 64
67 6 67
67 11 55
67 18 57
67 19 52
67 21 39
67 28 126
67 29 43
67 30 10
67 31 10
67 40 76
67 50 11
67 52 4
67 55 83
67 62 6
67 65 66
68 3 173
68 4 57
68 6 93
68 9 10
68 12 63
68 14 17
68 17 74
68 18 78
68 21 55
68 28 74
68 30 19
68 37 26
68 50 22
68 52 100
68 53 25
68 55 58
68 58 25
68 60 69
68 63 74
68 67 41
